nSeq;I1;I2;O1;O2;A3
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;217
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;217
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;217
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;217
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;217
13;0;0;0;0;217
14;0;0;0;0;217
15;0;0;0;0;217
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;218
3;0;0;0;0;217
4;0;0;0;0;217
5;0;0;0;0;217
6;0;0;0;0;217
7;0;0;0;0;217
8;0;0;0;0;217
9;0;0;0;0;217
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;217
13;0;0;0;0;217
14;0;0;0;0;217
15;0;0;0;0;217
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;217
3;0;0;0;0;217
4;0;0;0;0;217
5;0;0;0;0;217
6;0;0;0;0;217
7;0;0;0;0;217
8;0;0;0;0;217
9;0;0;0;0;217
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;217
13;0;0;0;0;217
14;0;0;0;0;217
15;0;0;0;0;217
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;217
3;0;0;0;0;217
4;0;0;0;0;217
5;0;0;0;0;217
6;0;0;0;0;217
7;0;0;0;0;217
8;0;0;0;0;217
9;0;0;0;0;217
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;217
13;0;0;0;0;217
14;0;0;0;0;217
15;0;0;0;0;217
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;217
3;0;0;0;0;217
4;0;0;0;0;217
5;0;0;0;0;217
6;0;0;0;0;217
7;0;0;0;0;217
8;0;0;0;0;217
9;0;0;0;0;217
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;217
13;0;0;0;0;217
14;0;0;0;0;217
15;0;0;0;0;217
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;217
3;0;0;0;0;217
4;0;0;0;0;217
5;0;0;0;0;217
6;0;0;0;0;217
7;0;0;0;0;217
8;0;0;0;0;217
9;0;0;0;0;217
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;217
13;0;0;0;0;217
14;0;0;0;0;217
15;0;0;0;0;217
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;217
3;0;0;0;0;217
4;0;0;0;0;217
5;0;0;0;0;217
6;0;0;0;0;217
7;0;0;0;0;217
8;0;0;0;0;217
9;0;0;0;0;217
10;0;0;0;0;217
11;0;0;0;0;217
12;0;0;0;0;217
13;0;0;0;0;217
14;0;0;0;0;217
15;0;0;0;0;217
0;0;0;0;0;217
1;0;0;0;0;217
2;0;0;0;0;217
3;0;0;0;0;217
4;0;0;0;0;217
5;0;0;0;0;217
